latitude,longitude,acq_date,PREDICTED
33.8156,-117.7089,10/10/2017,61.95499627
33.8334,-117.7049,10/10/2017,94.40976105
33.8229,-117.6963,10/10/2017,79.39806156
33.8318,-117.6943,10/10/2017,98.77809325
33.8427,-117.7072,10/10/2017,61.70563624
33.8245,-117.707,10/10/2017,74.78962483
33.8411,-117.6965,10/10/2017,63.88254815
33.832,-117.697,10/10/2017,69.48040622
33.8286,-117.715,10/10/2017,80.28523586
33.8062,-117.7086,10/10/2017,60.51359524
33.8174,-117.7116,10/10/2017,116.0329465
34.1255,-117.4896,10/24/2017,60.55724743
33.9672,-117.4706,10/24/2017,58.78239917
34.1306,-117.4809,10/24/2017,59.69416938
34.0949,-117.5285,11/17/2017,55.16737024
34.0953,-117.5332,11/19/2017,53.46994702
34.021,-116.9663,11/29/2017,96.14854025
34.0242,-116.9497,11/29/2017,73.69549268
34.0151,-116.9756,11/29/2017,77.35514583
34.0182,-116.9588,11/29/2017,104.3787244
33.9599,-117.4746,12/4/2017,106.9243322
33.9583,-117.4854,12/4/2017,65.67768823
34.2077,-117.3881,12/5/2017,59.13429916
34.0144,-117.5872,12/5/2017,55.57693094
34.0127,-117.592,12/5/2017,54.91887487
34.1495,-117.3456,12/5/2017,63.67506875
34.1517,-117.3112,12/5/2017,64.03858337
34.2046,-117.3928,12/5/2017,57.62177507
33.667,-117.98,12/7/2017,52.09412287
34.0893,-117.5349,12/18/2017,52.28908188
33.9905,-117.4009,12/21/2017,52.18533305
33.9898,-117.4087,12/21/2017,50.63038033
34.0925,-117.5337,1/12/2018,54.31018623
34.3197,-117.8356,2/5/2018,54.03340961
34.0905,-117.5373,2/15/2018,54.10596429
34.5438,-117.4587,2/19/2018,52.04130046
34.0915,-117.5269,2/21/2018,52.76339465
34.0927,-117.5335,2/23/2018,52.63961966
34.0945,-117.529,2/26/2018,52.48140485
34.0948,-117.5328,2/28/2018,55.5294864
33.774,-117.5753,3/9/2018,61.9649053
33.7707,-117.5846,3/20/2018,67.85323495
34.5639,-117.3934,3/23/2018,54.96230918
34.4815,-117.2835,3/23/2018,52.9932275
34.2154,-117.71,3/30/2018,56.15593652
33.763,-117.5764,4/3/2018,62.39562882
33.7645,-117.5882,4/3/2018,60.8510078
33.7597,-117.5762,4/4/2018,60.89402274
33.7617,-117.5638,4/4/2018,67.02182909
34.2145,-117.7183,4/5/2018,65.72923083
34.2258,-117.7182,4/5/2018,62.57895814
33.7662,-118.2906,4/8/2018,60.26403369
34.0116,-117.5358,4/17/2018,56.76676059
34.0032,-117.4816,4/17/2018,57.82584679
33.7621,-117.5787,4/27/2018,63.10986462
34.094,-117.3878,5/3/2018,59.42178218
34.0967,-117.3881,6/4/2018,66.0449163
34.095,-117.5282,6/6/2018,62.35676992
34.095,-117.5317,6/12/2018,61.12173749
34.0156,-117.5366,6/20/2018,64.80715103
34.0923,-117.5367,6/21/2018,59.82588981
34.095,-117.5368,6/28/2018,59.74294252
34.1748,-117.1285,6/30/2018,70.68084777
34.1732,-117.1393,6/30/2018,68.28854818
34.1091,-116.9308,7/7/2018,99.32560409
34.1018,-116.9298,7/7/2018,76.54284709
34.1071,-116.9585,7/7/2018,96.64783996
34.1046,-116.9446,7/7/2018,97.51304523
34.1129,-116.9312,7/7/2018,81.77682634
34.1191,-116.9264,7/7/2018,63.3236451
34.1153,-116.9445,7/7/2018,92.70558163
34.1072,-116.9427,7/7/2018,109.318826
34.1053,-116.9547,7/7/2018,111.3531815
34.1033,-116.9669,7/7/2018,77.07241213
34.1184,-116.9317,7/7/2018,78.31630395
34.1164,-116.9441,7/7/2018,68.58318243
34.1145,-116.9562,7/7/2018,73.753642
34.1004,-116.9356,7/7/2018,100.1250516
34.0986,-116.9474,7/7/2018,86.23974766
34.0967,-116.9594,7/7/2018,78.76283405
34.0949,-116.971,7/7/2018,60.89996081
34.1052,-116.9305,7/8/2018,66.31606275
34.1153,-116.9303,7/9/2018,58.11335221
34.0905,-117.5356,7/21/2018,61.03379684
34.0453,-117.3774,7/22/2018,67.78032818
34.558,-117.3943,7/25/2018,68.45433729
33.8748,-117.6211,8/2/2018,67.04041141
33.6954,-117.5223,8/6/2018,73.88104025
33.6571,-117.5012,8/6/2018,72.40189388
33.697,-117.5084,8/6/2018,89.24860384
33.6985,-117.4961,8/6/2018,80.4553731
33.6856,-117.5195,8/6/2018,103.243704
33.6871,-117.5061,8/6/2018,140.8068751
33.6886,-117.493,8/6/2018,123.4410834
33.6901,-117.4804,8/6/2018,83.28531746
33.6757,-117.5173,8/6/2018,127.1849406
33.6771,-117.5047,8/6/2018,138.0943245
33.6786,-117.4916,8/6/2018,129.7526288
33.6801,-117.4782,8/6/2018,82.30418782
33.6656,-117.5167,8/6/2018,100.5750281
33.6671,-117.5035,8/6/2018,136.4931104
33.6685,-117.4905,8/6/2018,96.27248552
33.6816,-117.4549,8/7/2018,72.26094012
33.6825,-117.4676,8/7/2018,90.67374456
33.6756,-117.4817,8/7/2018,73.41895455
33.6831,-117.4491,8/7/2018,68.74799489
33.6896,-117.458,8/7/2018,88.04175413
33.6643,-117.475,8/7/2018,65.93575692
33.6806,-117.46,8/7/2018,110.3396344
